Class in user_features,Number of referencing classes in benefits_programs,Referencing classes in benefits_programs
annual_investment_income,6,"EarnedIncomeTaxCredit, HeadStart, BasicSchoolTaxReliefProgram, EnhancedSchoolTaxReliefProgram, SilverCorps, OlderAdultEmploymentProgram"
receives_ssi,6,"EarlyHeadStart, DisabilityRentIncreaseExemption, HeadStart, CoolingAssistanceBenefit, Lifeline, HomeEnergyAssistanceProgram"
primary_residence,5,"BasicSchoolTaxReliefProgram, EnhancedSchoolTaxReliefProgram, SeniorCitizenHomeownersExemption, DisabledHomeownersExemption, VeteransPropertyTaxExemption"
months_pregnant,5,"MedicaidForPregnantWomen, TrainEarn, FamilyHomelessnessAndEvictionPreventionSupplement, LearnEarn, NYCNurseFamilyPartnership"
can_care_for_self,4,"ChildAndDependentCareTaxCredit, ChildrenAndYouthWithSpecialHealthCareNeeds, SchoolAgeAndEarlyChildhoodFamilyAndCommunityEngagementFACECenters, FamilyTypeHomesForAdults"
enrolled_in_educational_training,4,"InfantToddlerPrograms, CUNYFatherhoodAcademy, ChildCareVouchers, FamilyHomelessnessAndEvictionPreventionSupplement"
in_foster_care,4,"EarlyHeadStart, HeadStart, TrainEarn, LearnEarn"
receives_temporary_assistance,4,"HeadStart, CoolingAssistanceBenefit, TextTwoWork, HomeEnergyAssistanceProgram"
authorized_to_work_in_us,4,"AdvanceEarn, NYSUnemploymentInsurance, WorkforceoneCareerCenters, LearnEarn"
is_parent,4,"CUNYFatherhoodAcademy, NewbornHomeVisitingProgram, TrainEarn, LearnEarn"
receives_cash_assistance,4,"STEMMattersNYC, ChildCareVouchers, FamilyHomelessnessAndEvictionPreventionSupplement, LearnEarn"
has_ssn,3,"ChildTaxCredit, EarnedIncomeTaxCredit, LearnEarn"
enrolled_in_vocational_training,3,"InfantToddlerPrograms, ChildCareVouchers, FamilyHomelessnessAndEvictionPreventionSupplement"
receives_hra,3,"EarlyHeadStart, HeadStart, TextTwoWork"
days_looking_for_work,3,"ChildAndDependentCareTaxCredit, InfantToddlerPrograms, ChildCareVouchers"
monthly_rent_spending,3,"DisabilityRentIncreaseExemption, NYCTenantResourcePortal, SeniorCitizenRentIncreaseExemption"
lived_together_last_6_months,3,"ChildAndDependentCareTaxCredit, ChildTaxCredit, EarnedIncomeTaxCredit"
filing_jointly,3,"ChildAndDependentCareTaxCredit, ChildTaxCredit, EarnedIncomeTaxCredit"
dependent,3,"ChildAndDependentCareTaxCredit, ChildTaxCredit, NYCFreeTaxPrep"
is_property_owner,3,"SeniorCitizenHomeownersExemption, DisabledHomeownersExemption, VeteransPropertyTaxExemption"
proficient_in_english_reading_and_writing,3,"AcceleratedStudyInAssociatePrograms, TrainEarn, WeSpeakNYC"
sex,2,"CUNYFatherhoodAcademy, TrainEarn"
works_outside_home,2,"ChildAndDependentCareTaxCredit, NYCFinancialEmpowermentCenters"
attending_service_for_domestic_violence,2,"InfantToddlerPrograms, ChildCareVouchers"
name_is_on_lease,2,"DisabilityRentIncreaseExemption, SeniorCitizenRentIncreaseExemption"
receiving_treatment_for_substance_abuse,2,"InfantToddlerPrograms, ChildCareVouchers"
conflict_veteran,2,"HomeFirstDownPaymentAssistance, VeteransPropertyTaxExemption"
selective_service,2,"TrainEarn, LearnEarn"
is_runaway,2,"TrainEarn, LearnEarn"
emotional_behavioral_condition,2,"ChildrenAndYouthWithSpecialHealthCareNeeds, FamilyResourceCenters"
mental_health_condition,2,"FamilyResourceCenters, FamilyTypeHomesForAdults"
struggles_to_relate,2,"FamilyAssessmentProgram, NYCYouthHealth"
accepted_to_cuny,2,"AcceleratedStudyInAssociatePrograms, CUNYStart"
eligible_for_instate_tuition,2,"AcceleratedStudyInAssociatePrograms, CUNYStart"
college_credits,2,"CUNYFatherhoodAcademy, AcceleratedStudyInAssociatePrograms"
gpa,2,"AcceleratedStudyInAssociatePrograms, NYCLaddersForLeaders"
involved_in_justice_system,2,"TrainEarn, LearnEarn"
honorable_service,2,"HomeFirstDownPaymentAssistance, VeteransPropertyTaxExemption"
receives_fpha,2,"Lifeline, TextTwoWork"
name,1,BenefitsProgramMeta
has_atin,1,ChildTaxCredit
has_itin,1,ChildTaxCredit
provides_over_half_of_own_financial_support,1,ChildTaxCredit
receives_ssdi,1,DisabilityRentIncreaseExemption
receives_va_disability,1,DisabilityRentIncreaseExemption
has_received_ssi_or_ssdi,1,DisabilityRentIncreaseExemption
receives_disability_medicaid,1,DisabilityRentIncreaseExemption
has_paid_caregiver,1,ChildAndDependentCareTaxCredit
months_owned_property,1,SeniorCitizenHomeownersExemption
had_previous_sche,1,SeniorCitizenHomeownersExemption
electricity_shut_off,1,HomeEnergyAssistanceProgram
heat_shut_off,1,HomeEnergyAssistanceProgram
out_of_fuel,1,HomeEnergyAssistanceProgram
heating_electrical_bill_in_name,1,HomeEnergyAssistanceProgram
available_financial_resources,1,HomeEnergyAssistanceProgram
lost_job,1,NYSUnemploymentInsurance
months_since_worked,1,NYSUnemploymentInsurance
can_work_immediately,1,NYSUnemploymentInsurance
was_authorized_to_work_when_job_lost,1,NYSUnemploymentInsurance
is_eligible_for_selective_service,1,LearnEarn
foster_age_out,1,LearnEarn
responsible_for_day_to_day,1,OfficeOfChildSupportServices
hiv_aids,1,HIVAIDSServicesAdministration
can_manage_self,1,AdultProtectiveServices
has_family_to_help,1,AdultProtectiveServices
can_access_subway_or_bus,1,AccessARideParatransitService
recovering_from_surgery,1,AccessARideParatransitService
high_school_equivalent,1,CUNYStart
acs,1,NewbornHomeVisitingProgram
chronic_health_condition,1,ChildrenAndYouthWithSpecialHealthCareNeeds
developmental_condition,1,FamilyTypeHomesForAdults
health_insurance,1,ChildHealthPlusAndChildrensMedicaid
emancipated_minor,1,NYCHAPublicHousing
proficient_in_math,1,AcceleratedStudyInAssociatePrograms
work_or_volunteer_experience,1,NYCLaddersForLeaders
lives_in_jobs_plus_neighborhood,1,JobsPlus
va_healthcare,1,VeteransAffairsSupportedHousing
heat_exacerbated_condition,1,CoolingAssistanceBenefit
ac,1,CoolingAssistanceBenefit
got_heap_ac,1,CoolingAssistanceBenefit
heat_included_in_rent,1,CoolingAssistanceBenefit
qualify_for_health_insurance,1,NYCCare
at_risk_of_homelessness,1,Homebase
federal_work_study,1,SafeAndSickLeave
scholarship,1,SafeAndSickLeave
government_job,1,SafeAndSickLeave
is_therapist,1,SafeAndSickLeave
contractor,1,SafeAndSickLeave
wep,1,SafeAndSickLeave
collective_bargaining,1,SafeAndSickLeave
covid_funeral_expenses,1,COVIDnineteenFuneralAssistance
evicted_months_ago,1,FamilyHomelessnessAndEvictionPreventionSupplement
currently_being_evicted,1,FamilyHomelessnessAndEvictionPreventionSupplement
employer_opt_in,1,NYSPaidFamilyLeave
consecutive_work_weeks,1,NYSPaidFamilyLeave
nonconsecutive_work_days,1,NYSPaidFamilyLeave
developmental_mental_day_treatment,1,FamilyTypeHomesForAdults
years_sober,1,FamilyTypeHomesForAdults
medication_treatment_non_compliance,1,FamilyTypeHomesForAdults
arson,1,FamilyTypeHomesForAdults
verbal_abuse,1,FamilyTypeHomesForAdults
imprisonment,1,FamilyTypeHomesForAdults
first_time_home_buyer,1,HomeFirstDownPaymentAssistance
receives_medicaid,1,Lifeline
eligible_for_medicaid,1,NYCNurseFamilyPartnership
receives_vpsb,1,Lifeline
eligible_for_hra_shelter,1,FamilyHomelessnessAndEvictionPreventionSupplement
wheelchair,1,FamilyTypeHomesForAdults
bedridden,1,FamilyTypeHomesForAdults
PersonAttributeMeta,0,
BasePersonAttr,0,
SexEnum,0,
RelationEnum,0,
PlaceOfResidenceEnum,0,
GradeLevelEnum,0,
HousingEnum,0,
propery_owner_widow,0,
work_experience,0,
breastfeeding,0,
CitizenshipEnum,0,
EducationLevelEnum,0,
work_authorization,0,
transitional_job,0,
